district	zone	SchoolID	SchName	SchAddress	PINCD	CRCSchAddress	Sch_Type	MuncipalityName	RuralUrban	Udise_Code	ESTDYEAR	CWSNSCH_YN	cwsn_sch_type	School_Deatils_STD	School_Deatils_Landline_Phone	School_Deatils_MobileNO	School_Incharge_Name	School_Incharge_Designation	School_Incharge_MobileNo	Respondent_Name	Respondent_Designation	Respondent_MobileNo	EMAIL	WEBSITE	School_Gender	School_Level	School_Nomenclature	LOWCLASS	HIGHCLASS	Shiftofschool	typeofschool	SCHMGT_Group	SCHMGT	minoritymanagedschool_YN	TYPEofminoritymanagedschool	MEDINSTR1	MEDINSTR2	MEDINSTR3	MEDINSTR4	MTONGUE_YN	LANG1	LANG2	LANG3	LANG4	LANG5	VISITSCRC	workdays_pre_pri	workdays_pri	WORKSDAYS_UPR	WORKSDAYS_SEC	workdays_hsec	sch_hrs_stu_pre_pri_h	sch_hrs_stu_pre_pri_m	sch_hrs_stu_pri_h	sch_hrs_stu_pri_m	sch_hrs_stu_upr_h	sch_hrs_stu_upr_m	sch_hrs_stu_sec_h	sch_hrs_stu_sec_m	sch_hrs_stu_hsec_h	sch_hrs_stu_hsec_m	sch_hrs_tch_pre_pri_h	sch_hrs_tch_pre_pri_m	sch_hrs_tch_pri_h	sch_hrs_tch_pri_m	sch_hrs_tch_upr_h	sch_hrs_tch_upr_m	sch_hrs_tch_sec_h	sch_hrs_tch_sec_m	sch_hrs_tch_hsec_h	sch_hrs_tch_hsec_m
East	1	1001024	Govt. Girls Sr. Sec. School	"Kanti Nagar, Delhi"	110051	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123501	1978	No		11	22098907	9810545539	DR. DAISY GUPTA	Asst. Head Master/VicePrincipal	9810545539	MRS. NITASHA GUPTA	Teacher	9990942098	1001024hos@gmail.com	http://edudel.nic.in	Girls	Sr.Sec	VI to XII	6	12	Morning	Girls	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	Yes	Hindi	English	Urdu	Sanskrit	NA	15			220	220	220					5	30	5	30	5	30					6	30	6	30	6	30
East	1	1001026	Govt. Girls Sr. Sec. School	"Jhilmil Colony, Vivek Vihar, Phase-II, Delhi"	110095	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123802	1992	No		11	22156557	9910265001	Mrs Samta Jain	Head Master/Principal	9910265001	Mrs. Akancha Chauraisa	Teacher	9650966459	ggsss1001026@gmail.com	http://edudel.gov.in	Girls	Sr.Sec	VI to XII	6	12	Morning	Girls	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	No	Hindi	English	Sanskrit	Urdu	Punjabi	12			220	220	220					6	0	6	0	6	0					6	30	6	30	6	30
East	1	1001102	Govt. Sarvodaya Kanya Vidyalaya	"Surajmal Vihar, Delhi"	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	Government	East Delhi Municipal Corporation	Urban	7040122603	1991	No		11	22373927	9818838866	RASHMI ARORA	Asst. Head Master/VicePrincipal	9818838866	MINU SHARMA	Teacher	9313665590	1001102hos@gmail.com	http://www.edudel.gov.in	Girls	Sr.Sec	Nur to XII	0	12	Morning	Girls	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	Yes	English	Hindi	Sanskrit	Punjabi	NA	12	220	220	220	220	220	4	30	4	30	5	10	5	10	5	10	5	40	5	40	5	40	5	40	5	40
East	1	1001104	Rajkiya Pratibha Vikas Vidyalaya	"Surajmal Vihar, Delhi"	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	Government	East Delhi Municipal Corporation	Urban	7040122604	1997	No		11	22169518	9818415348	Dr. Rajpal Singh	Head Master/Principal	9818415348	Deepak Kumar Ruhela	Teacher	9891100829	rpvvsurajmalvihar123@gmail.com	http://www.edudel.nic.in	Co-Ed.	Sr.Sec	IX to XII	9	12	General	Co-Ed	A-State Government	Dte.of Education	No		English	NA	NA	NA	Yes	English	Hindi	Sanskrit	Urdu	NA	6				220	220							6	0	6	0							6	30	6	30
East	1	1001105	Govt. Sarvodaya Bal Vidyalaya	"Jhilmil Colony, Delhi"	110095	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123801	1964	No		11	22151143	8383855587	ANIL KUMAR	Head Master/Principal	8383855587	ANAND SWARUP	Teacher	9891269039	accgsbv@gmail.com		Boys	Sr.Sec	Nur to XII	0	12	Evening	Co-Ed	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	8	220	220	230	230	230	5	30	5	30	6	0	6	0	6	0	6	30	6	30	6	30	6	30	6	30
East	1	1001106	Govt. Sarvodaya Kanya Vidyalaya	"Kiran Vihar, Delhi"	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	Government	East Delhi Municipal Corporation	Urban	7040122504	1984	No		11	22370615	9958458429	MIGLESH KUMARI	Asst. Head Master/VicePrincipal	9958458429	NEETU NARGAS	Teacher	9811516998	1001106hos@gmail.com		Girls	Sr.Sec	Nur to XII	0	12	Morning	Co-Ed	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	No	English	Hindi	Sanskrit	Punjabi	NA	5	220	220	220	235	235	5	0	5	0	5	30	5	30	5	30	6	0	6	0	6	0	6	0	6	0
East	1	1001109	Govt. Sarvodaya Bal Vidyalaya	"Kiran Vihar, Delhi"	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	Government	East Delhi Municipal Corporation	Urban	7040122503	1997	No		11	20824119	9818430125	TEJ PRAKASH 	Head Master/Principal	9818430125	NAWAZISH ALI	Teacher	9536562504	1001109hos@gmail.com		Boys	Sr.Sec	Nur to XII	0	12	Evening	Co-Ed	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	Yes	English	Hindi	Punjabi	Sanskrit	NA	3	220	220	220	220	220	5	0	5	0	5	30	5	30	5	30	6	0	6	0	6	0	6	0	6	0
East	1	1001110	Govt. Sarvodaya Bal Vidyalaya	"Rajgarh Colony, Delhi"	110031	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123602	1975	No		11	22007120	9968177148	ABUTALIV	Asst. Head Master/VicePrincipal	9968177148	AJAY KUMAR	Teacher	9560595831	gsbvrajgarhcolony@gmail.com	https://www.edudel.nic.in	Boys	Sr.Sec	Nur to XII	0	12	General	Boy	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	Yes	Hindi	English	Sanskrit	Punjabi	NA	15	220	220	220	220	220	5	30	5	30	5	30	5	30	5	30	6	30	6	30	6	30	6	30	6	30
East	1	1001111	Govt. Girls Sr. Sec. School	"Jhilmil Colony, Delhi"	110095	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123803	1967	No		11	22163206	9968685540	KARUNA BHARDWAJ	Asst. Head Master/VicePrincipal	9968685540	UMESH CHANDRA JADLI	School Administration Staff/Official/Clerk	9999860674	schoolgovtgirls95@gmail.com	https://www.edudel.nic.in	Girls	Sr.Sec	VI to XII	6	12	Morning	Girls	A-State Government	Dte.of Education	No		Hindi	English	NA	NA	No	Hindi	English	Sanskrit	Punjabi	NA	30			220	235	235					5	30	5	30	5	30					6	0	6	0	6	0
East	1	1001144	Jain Sec. School	"Shahadara, Gali Jain Mandir, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Aided	East Delhi Municipal Corporation	Urban	7040223703	1942	No		11	22381608	9868276427	J.S. Tyagi	Asst. Head Master/VicePrincipal	9868276427	G.D.Singhal	Teacher	9899345455	Jainschoolshd@gmail.com		Boys	Secondary	I to X	1	10	Morning	Co-Ed	B-Govt. Aided	Pvt. Aided	Yes	Jain	English	Hindi	NA	NA	Yes	Hindi	Sanskrit	English	NA	NA	8		220	220	220				5	30	6	0	6	0					6	30	6	30	6	30		
East	1	1001145	Sanatan Dharam Sr. Sec. School	"Shahadara, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Aided	East Delhi Municipal Corporation	Urban	7040223702	1955	No		11	22303340	9818865534	DHARAMVEER	Head Master/Principal	9818865534	VINEET KUMAR	Teacher	7503704743	schoolsd@ymail.com	www.http://sdschoolshahdara.in	Boys	Sr.Sec	I to XII	1	12	Morning	Co-Ed	B-Govt. Aided	Pvt. Aided	No		Hindi	NA	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	7		210	220	220	220			5	30	6	0	6	0	6	0			5	30	6	0	6	0	6	0
East	1	1001146	Lalita PD Girls Sr. Sec. School	"Shahadara, Anaj Mandi, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Aided	East Delhi Municipal Corporation	Urban	7040223701	1950	No		11	71414931	9899859319	KAMINI BHASIN 	Head Master/Principal	9899859319	PRATIBHA	Teacher	9555302549	lalitapd2010@gmail.com		Girls	Sr.Sec	I to XII	1	12	Morning	Girls	B-Govt. Aided	Pvt. Aided	No		Hindi	NA	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	3		210	220	220	220			5	0	6	0	6	0	6	0			6	30	6	30	6	30	6	30
East	1	1001147	DAV No. 2 Sr. Sec. School	"Shankar Nagar, Delhi"	110051	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Aided	East Delhi Municipal Corporation	Urban	7040223601	1956	No		11	22005416	8800905856	SMT BABITA JAIN	Head Master/Principal	8800905856	SH RAM SINGH	Teacher	9354495089	davschool1001147@gmail.com		Co-Ed.	Sr.Sec	I to XII	1	12	Morning	Co-Ed	B-Govt. Aided	Pvt. Aided	No		English	Hindi	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	20		204	221	235	235			5	30	6	0	6	0	6	0			6	30	6	30	6	30	6	30
East	1	1001148	Nehru Adarsh Sr. Sec. School	"Old Seelampur East, Delhi"	110031	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Aided	East Delhi Municipal Corporation	Urban	7040223501	1972	No		11	22092342	9990807171	SH. INDERJEET SINGH	Asst. Head Master/VicePrincipal	9990807171	SH. INDERJEET SINGH	Head of the School/In-Charge	9990807171	nehruadarsh@gmail.com	http://www.nehruadarsh.org	Co-Ed.	Sr.Sec	VI to XII	6	12	Morning	Co-Ed	B-Govt. Aided	Pvt. Aided	No		Hindi	English	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	7			220	220	220					6	0	6	0	6	0					6	30	6	30	6	30
East	1	1001149	R. A. Geeta Sr. Sec. School	"Shankar Nagar, Delhi"	110031	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Aided	East Delhi Municipal Corporation	Urban	7040223404	1967	No		11	22002338	9811545499	YASH PAL SINGH	Head Master/Principal	9811545499	SANJIV KUMAR	Teacher	8700328940	rageetaschool@gmail.com		Co-Ed.	Sr.Sec	VI to XII	6	12	General	Co-Ed	B-Govt. Aided	Pvt. Aided	No		English	Hindi	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	25			221	221	221					6	0	6	0	6	0					6	30	6	30	6	30
East	1	1001150	Ratan Devi Arya Girls Sr. Sec. School	"Krishna Nagar, Delhi"	110051	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	Aided	East Delhi Municipal Corporation	Urban	7040222902	1957	No		11	46066056	9899744423	Archana	Asst. Head Master/VicePrincipal	9899744423	Archana	Head of the School/In-Charge	9899744423	rdagsss@gmail.com	 http://www.edudel.nic.in	Girls	Sr.Sec	I to XII	1	12	Morning	Girls	B-Govt. Aided	Pvt. Aided	No		Hindi	English	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	10		220	220	220	220			5	30	6	0	6	0	6	0			6	30	6	30	6	30	6	30
East	1	1001151	Govt. Co-ed. Sec. School	"Teliwara, Shahdara, Delhi"	110032	"1001022:-Govt. Sarvodaya Kanya Vidyalaya, C-Block, Vivek Vihar, Delhi"	Government	East Delhi Municipal Corporation	Urban	7040123701	1966	No		11	22393033	9873244807	Mrs.Ritu Behal	Asst. Head Master/VicePrincipal	9873244807	SUMAN BALA 	Teacher	8447428459	1001151hos@gmail.com	http://.edudel.nic.in	Co-Ed.	Secondary	VI to X	6	10	General	Co-Ed	A-State Government	Dte.of Education	No		English	Hindi	NA	NA	No	Hindi	English	Sanskrit	NA	NA	4			220	220						6	30	6	30							7	0	7	0		
East	1	1001152	Green Land Public School	"2126, Gali No.4 Rajgarh Colony, Delhi"	110031	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040323605	1979	No		11	22004432	9213774426	SUSHMA GUPTA      (HM)	Head Master/Principal	9213774426	SUSHMA GUPTA      (HM)	Head of the School/In-Charge	9599319413	glpssushma@gmail.com		Co-Ed.	Middle	I to VIII	1	8	Morning	Co-Ed	C-Private Unaided	Pvt. Unaided	No		English	NA	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	0		220	220					5	0	5	30							6	0	6	0				
East	1	1001153	Geeta Bal Bharti Sr. Sec. School	Rajgarh Colony Delhi	110031	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040323604	1980	No		11	22092543	9310791225	SAVITA KHURANA	Head Master/Principal	9810135505	BUDHDEV ATTRI	School Administration Staff/Official/Clerk	8826112798	geetabalbhartischool@rediffmail.com	https://.geetabalbharti.co.in	Co-Ed.	Sr.Sec	Nur to XII	0	12	Morning	Co-Ed	C-Private Unaided	Pvt. Unaided	No		English	NA	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	0	230	235	235	235	235	4	0	6	0	6	0	6	0	6	0	7	0	7	0	7	0	7	0	7	0
East	1	1001155	Gyandeep Shiksha Niketan	107/52 East Azad Nagar Delhi	110051	"1051141:-MCD Primary School (Co-ed) , West Azad Nager, Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040323503	1992	No		11	22099015	9717170497	Ms. Paramjeet Kaur	Head Master/Principal	9717170497	Ms. Paramjeet Kaur	Head of the School/In-Charge	9717170497	gsneastdelhi@gmail.com		Co-Ed.	Middle	I to VIII	1	8	Morning	Co-Ed	C-Private Unaided	Pvt. Unaided	No		English	NA	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	0		206	206					5	30	5	30							6	0	6	0				
East	1	1001156	Puneet Public School	"Patel Street, Vishwas Nagar, Delhi"	110032	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040322501	1977	No		11	22384142	9711395495	Mrs. Sadhna Rustagi	Head Master/Principal	9811019544	Mrs. Reena Singh	Teacher	9266419075	pps.school@gmail.com	https://www.puneetpublicschool.in	Co-Ed.	Secondary	Nur to X	0	10	General	Co-Ed	C-Private Unaided	Pvt. Unaided	No		English	NA	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	0	218	220	222	223		5	0	5	30	5	50	5	50			6	30	6	30	6	30	6	30		
East	1	1001158	Happy Public School	"32/125, Street No 10 Vishwas Nagar Delhi"	110032	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040322506	1997	No		11	22304944	9717783333	POOJA  ARORA	Head Master/Principal	9717783333	POOJA  ARORA	Head of the School/In-Charge	9717783333	happypublicschool@gmail.com		Co-Ed.	Middle	I to VIII	1	8	Morning	Co-Ed	C-Private Unaided	Pvt. Unaided	Yes	Sikhs	English	NA	NA	NA	No	English	Hindi	Sanskrit	NA	NA	0		200	200					5	30	5	30							6	0	6	0				
East	1	1001159	Amar Jyoti School	Karkar Dooma Delhi	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040322510	1982	No		11	22372173	9899297346	Ms. Seema Tuli	Head Master/Principal	9899297346	Ms. Seema Tuli	Head of the School/In-Charge	9899297346	ajschool1981@gmail.com		Co-Ed.	Middle	Nur to VIII	0	8	Morning	Co-Ed	C-Private Unaided	Pvt. Unaided	No		English	NA	NA	NA	Yes	Hindi	English	Sanskrit	NA	NA	0	225	225	5			5	0	5	0	5	0					5	0	5	0	5	0				
East	1	1001161	Modern Public School	Rishabh Vihar Delhi	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040322601	1979	No		11	42444999	9810624999	RAJAN	Head Master/Principal	9810624999	BALWINDER SINGH	School Administration Staff/Official/Clerk	9810826131	modernpublicschoolrv@rediffmail.com	http://modernpublicschoolrv.org	Co-Ed.	Secondary	Nur to XII	0	12	General	Co-Ed	C-Private Unaided	Pvt. Unaided	No		English	NA	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	0	220	220	220	220	220	4	30	6	0	6	0	6	0	6	0	6	30	6	30	6	30	6	30	6	30
East	1	1001162	Arunodaya Public School	1-A Karkardooma Institutional Area Vikas Marg Delhi	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040322505	1996	No		11	22371019	9958927052	ARUNODAYA PUBLIC SCHOOL	Head Master/Principal	9958927052	BHAGSAR SINGH	School Administration Staff/Official/Clerk	9211607059	arunodayaschool96@gmail.com	https://www.arunodyapublicschool.com	Co-Ed.	Sr.Sec	Nur to XII	0	12	Morning	Co-Ed	C-Private Unaided	Pvt. Unaided	No		English	NA	NA	NA	Yes	English	Hindi	Sanskrit	NA	NA	0	180	200	210	218	218	3	0	6	0	6	0	6	0	6	0	6	30	6	30	6	30	6	30	6	30
East	1	1001163	Bharat National Public School	Ram Vihar Karkardooma Delhi	110092	"1001009:-Govt. Sarvodaya Kanya Vidyalaya, Anand Vihar (Near Railway Station), Delhi"	DoE_UnAided	East Delhi Municipal Corporation	Urban	7040322605	1971	No		11	43086628	9310353898	Kanwaljeet Khungar	Head Master/Principal	9810806888	Banpreet kaur	School Administration Staff/Official/Clerk	8826501950	bnpsramvihar@yahoo.com	http://www.bnpsramvihar.edu.in	Co-Ed.	Sr.Sec	Nur to XII	0	12	Morning	Co-Ed	C-Private Unaided	Pvt. Unaided	Yes	Sikhs	English	NA	NA	NA	Yes	English	Hindi	Sanskrit	Punjabi	NA	0	216	220	220	220	220	4	0	6	0	6	0	6	0	6	0	7	0	7	0	7	0	7	0	7	0
